iter	Passed	Remaining
701	8777	3726
702	8788	3712
703	8797	3698
704	8808	3685
705	8819	3672
706	8828	3658
707	8839	3645
708	8853	3633
709	8863	3620
710	8876	3607
711	8886	3594
712	8897	3581
713	8909	3568
714	8921	3555
715	8929	3542
716	8941	3529
717	8952	3516
718	8975	3507
719	8991	3496
720	9002	3483
721	9011	3469
722	9022	3456
723	9032	3443
724	9043	3430
725	9053	3417
726	9062	3403
727	9088	3395
728	9100	3383
729	9109	3369
730	9121	3356
731	9138	3345
732	9150	3333
733	9160	3319
734	9177	3308
735	9188	3295
736	9198	3282
737	9207	3268
738	9226	3258
739	9280	3260
740	9316	3256
741	9352	3252
742	9396	3250
743	9415	3239
744	9428	3227
745	9465	3222
746	9516	3223
747	9529	3210
748	9539	3196
749	9551	3183
750	9563	3170
751	9574	3157
752	9601	3149
753	9612	3136
754	9622	3122
755	9634	3109
756	9651	3098
757	9662	3084
758	9671	3070
759	9684	3058
760	9695	3044
761	9705	3031
762	9722	3019
763	9734	3006
764	9749	2995
765	9763	2982
766	9791	2974
767	9800	2960
768	9812	2947
769	9821	2933
770	9831	2920
771	9841	2906
772	9851	2893
773	9862	2879
774	9870	2865
775	9880	2852
776	9890	2838
777	9900	2825
778	9911	2811
779	9922	2798
780	9931	2784
781	9943	2771
782	9953	2758
783	9962	2744
784	9975	2732
785	9984	2718
786	9995	2705
787	10014	2694
788	10040	2685
789	10052	2672
790	10068	2660
791	10081	2647
792	10096	2635
793	10110	2623
794	10126	2611
795	10139	2598
796	10159	2587
797	10170	2574
798	10178	2560
799	10188	2547
800	10197	2533
801	10207	2519
802	10217	2506
803	10226	2493
804	10239	2480
805	10249	2467
806	10258	2453
807	10272	2440
808	10281	2427
809	10291	2413
810	10301	2400
811	10311	2387
812	10322	2374
813	10334	2361
814	10345	2348
815	10365	2337
816	10375	2324
817	10385	2310
818	10394	2297
819	10426	2288
820	10439	2275
821	10463	2265
822	10471	2252
823	10482	2239
824	10491	2225
825	10504	2212
826	10514	2199
827	10523	2186
828	10534	2172
829	10546	2160
830	10555	2146
831	10565	2133
832	10585	2122
833	10596	2109
834	10605	2095
835	10616	2082
836	10634	2070
837	10645	2057
838	10653	2044
839	10664	2031
840	10673	2017
841	10684	2004
842	10694	1991
843	10705	1978
844	10715	1965
845	10724	1952
846	10738	1939
847	10749	1926
848	10760	1913
849	10785	1903
850	10796	1890
851	10806	1877
852	10816	1864
853	10826	1850
854	10836	1837
855	10847	1824
856	10857	1811
857	10866	1798
858	10876	1785
859	10886	1772
860	10896	1759
861	10910	1746
862	10919	1733
863	10929	1720
864	10939	1707
865	10949	1694
866	10960	1681
867	10969	1668
868	10980	1655
869	10990	1642
870	10999	1629
871	11009	1616
872	11018	1602
873	11028	1589
874	11040	1577
875	11050	1564
876	11060	1551
877	11070	1538
878	11079	1525
879	11090	1512
880	11098	1499
881	11126	1488
882	11139	1475
883	11147	1462
884	11159	1450
885	11169	1437
886	11178	1424
887	11189	1411
888	11198	1398
889	11209	1385
890	11220	1372
891	11231	1359
892	11241	1346
893	11251	1334
894	11261	1321
895	11273	1308
896	11282	1295
897	11291	1282
898	11302	1269
899	11312	1256
900	11322	1244
901	11345	1232
902	11355	1219
903	11367	1207
904	11376	1194
905	11393	1182
906	11403	1169
907	11414	1156
908	11423	1143
909	11434	1130
910	11443	1117
911	11453	1105
912	11464	1092
913	11473	1079
914	11483	1066
915	11502	1054
916	11513	1042
917	11522	1029
918	11532	1016
919	11542	1003
920	11552	990
921	11562	978
922	11572	965
923	11584	952
924	11595	940
925	11605	927
926	11617	914
927	11627	902
928	11637	889
929	11647	876
930	11656	863
931	11674	851
932	11686	839
933	11696	826
934	11706	813
935	11716	801
936	11726	788
937	11735	775
938	11746	763
939	11755	750
940	11764	737
941	11773	724
942	11783	712
943	11793	699
944	11802	686
945	11847	676
946	11859	663
947	11873	651
948	11892	639
949	11903	626
950	11914	613
951	11924	601
952	11933	588
953	11944	575
954	11952	563
955	11967	550
956	11978	538
957	11986	525
958	12014	513
959	12025	501
960	12033	488
961	12043	475
962	12052	463
963	12063	450
964	12073	437
965	12082	425
966	12096	412
967	12107	400
968	12126	387
969	12136	375
970	12145	362
971	12155	350
972	12164	337
973	12174	324
974	12183	312
975	12193	299
976	12204	287
977	12214	274
978	12225	262
979	12240	249
980	12250	237
981	12260	224
982	12270	212
983	12280	199
984	12293	187
985	12304	174
986	12313	162
987	12324	149
988	12334	137
989	12344	124
990	12358	112
991	12368	99
992	12377	87
993	12387	74
994	12396	62
995	12407	49
996	12417	37
997	12426	24
998	12436	12
999	12445	0
